sample_id,perturbed_train_loss,perturbed_val_loss,perturbed_grad_norm,perturbed_mean_iou,perturbed_class_0_iou,perturbed_class_1_iou,perturbed_class_2_iou,perturbed_class_3_iou,perturbed_class_4_iou,perturbed_class_5_iou,perturbed_class_6_iou,perturbed_class_7_iou,perturbed_class_8_iou,perturbed_class_9_iou,perturbed_class_10_iou,perturbed_class_11_iou,perturbed_class_12_iou
11,2.518982645790836,3.058719820133627,2372.04052734375,0.5691996812820435,0.9202799797058105,0.9825312495231628,0.7785322070121765,0.0003968979581259191,0.14411459863185883,0.36164990067481995,0.5187364220619202,0.8236756324768066,0.7639340162277222,0.6473221778869629,0.49677035212516785,0.44382596015930176,0.5178263783454895
12,2.5294320852238106,3.1293147107952732,1912.339599609375,0.5765546560287476,0.9138234853744507,0.9841911196708679,0.7614808678627014,8.658357546664774e-05,0.19880346953868866,0.3506544530391693,0.4692131280899048,0.8245202302932739,0.7673593163490295,0.6566976308822632,0.565368115901947,0.4967581629753113,0.5062535405158997
13,2.528333240172615,3.1360816522567307,2341.07275390625,0.5528411269187927,0.9186914563179016,0.9846168756484985,0.7461308836936951,0.0,0.21488623321056366,0.35114097595214844,0.4554493725299835,0.8336901068687439,0.7388429045677185,0.6402068138122559,0.3344951868057251,0.4831028878688812,0.4856804609298706
14,2.521676679322512,3.19541085591087,2199.916748046875,0.5671952366828918,0.8978233337402344,0.9824728965759277,0.7610355019569397,0.0,0.1735449582338333,0.2833361029624939,0.47026169300079346,0.8464571833610535,0.7170562148094177,0.6465003490447998,0.5807701945304871,0.5012044310569763,0.5130751729011536
15,2.5069077173777115,3.09942434636417,2092.794921875,0.5641657114028931,0.9209550023078918,0.9833681583404541,0.7682962417602539,0.0,0.18590328097343445,0.2969540059566498,0.5091539621353149,0.8074491024017334,0.7017068862915039,0.6559005975723267,0.5190703272819519,0.4755341410636902,0.5098632574081421
16,2.5193625901864554,3.1432952052448555,2025.6697998046875,0.5838435292243958,0.9300184845924377,0.982047438621521,0.768007218837738,0.0,0.15550938248634338,0.3877609074115753,0.48208102583885193,0.8297512531280518,0.720478355884552,0.6155437231063843,0.7373085618019104,0.48951855301856995,0.49194052815437317
17,2.5350468350489948,3.1964929542915304,2722.572021484375,0.5616641044616699,0.9202598333358765,0.9843662977218628,0.7642703056335449,0.0,0.14707210659980774,0.32453882694244385,0.4714607298374176,0.7865718007087708,0.7315802574157715,0.6333804726600647,0.5074257254600525,0.5332854986190796,0.4974213242530823
18,2.5185729552533633,3.178149095629958,2353.733642578125,0.5640051364898682,0.928149402141571,0.9828232526779175,0.7603766322135925,0.0,0.25200653076171875,0.2798265218734741,0.5588251948356628,0.8222461938858032,0.7301046252250671,0.6274847984313965,0.507178008556366,0.391586571931839,0.49145957827568054
19,2.5314099198469053,3.130717536338469,2000.2386474609375,0.5693491697311401,0.9396769404411316,0.9845893383026123,0.7629257440567017,0.0,0.2671814262866974,0.3508948087692261,0.4791465103626251,0.7980045676231384,0.7352892160415649,0.6276882290840149,0.5449620485305786,0.41743603348731995,0.4937436878681183
20,2.5146908296619777,3.127856205010527,1772.0921630859375,0.5843891501426697,0.9179710149765015,0.9830572605133057,0.7705689668655396,0.0,0.23617413640022278,0.3548364043235779,0.49528318643569946,0.8415461778640747,0.7448298931121826,0.6395431756973267,0.4727838337421417,0.6178345084190369,0.5226308107376099
